 format: day,hour,value location:60_127 Start : 20230101 
 1, 0000, -0.200000 
 1, 0001, 0.600000 
 1, 0002, 2.200000 
 1, 0003, 3.100000 
 1, 0004, 3.200000 
 1, 0005, 2.900000 
 1, 0006, 2.500000 
 1, 0007, 1.100000 
 1, 0008, -0.100000 
 1, 0009, -1.100000 
 1, 0010, -1.700000 
 1, 0011, -2.200000 
 1, 0012, -2.800000 
 1, 0013, -3.600000 
 1, 0014, -4.300000 
 1, 0015, -5.100000 
 1, 0016, -5.600000 
 1, 0017, -6.100000 
 1, 0018, -6.600000 
 1, 0019, -6.800000 
 1, 0020, -6.400000 
 1, 0021, -6.600000 
 1, 0022, -6.900000 
 1, 0023, -6.200000 
 2, 0000, -4.900000 
 2, 0001, -3.400000 
 2, 0002, -2.300000 
 2, 0003, -2.000000 
 2, 0004, -0.900000 
 2, 0005, -0.500000 
 2, 0006, -0.900000 
 2, 0007, -2.000000 
 2, 0008, -2.900000 
 2, 0009, -3.300000 
 2, 0010, -3.800000 
 2, 0011, -4.400000 
 2, 0012, -5.100000 
 2, 0013, -5.900000 
 2, 0014, -6.500000 
 2, 0015, -7.200000 
 2, 0016, -7.600000 
 2, 0017, -8.100000 
 2, 0018, -8.100000 
 2, 0019, -8.600000 
 2, 0020, -8.800000 
 2, 0021, -8.700000 
 2, 0022, -8.700000 
 2, 0023, -7.500000 
 3, 0000, -4.100000 
 3, 0001, -3.000000 
 3, 0002, -2.000000 
 3, 0003, -0.500000 
 3, 0004, -0.500000 
 3, 0005, -0.300000 
 3, 0006, 0.000000 
 3, 0007, -1.600000 
 3, 0008, -2.600000 
 3, 0009, -3.300000 
 3, 0010, -3.800000 
 3, 0011, -4.400000 
 3, 0012, -4.900000 
 3, 0013, -5.200000 
 3, 0014, -5.200000 
 3, 0015, -5.300000 
 3, 0016, -5.400000 
 3, 0017, -5.500000 
 3, 0018, -4.800000 
 3, 0019, -4.400000 
 3, 0020, -4.000000 
 3, 0021, -3.900000 
 3, 0022, -4.400000 
 3, 0023, -4.100000 
 4, 0000, -1.900000 
 4, 0001, 0.800000 
 4, 0002, 2.100000 
 4, 0003, 2.000000 
 4, 0004, 2.500000 
 4, 0005, 3.100000 
 4, 0006, 2.700000 
 4, 0007, 1.400000 
 4, 0008, 0.300000 
 4, 0009, -0.300000 
 4, 0010, -1.200000 
 4, 0011, -2.200000 
 4, 0012, -2.800000 
 4, 0013, -2.800000 
 4, 0014, -3.200000 
 4, 0015, -3.200000 
 4, 0016, -3.700000 
 4, 0017, -4.100000 
 4, 0018, -4.300000 
 4, 0019, -4.800000 
 4, 0020, -5.000000 
 4, 0021, -5.300000 
 4, 0022, -5.500000 
 4, 0023, -4.300000 
 5, 0000, -2.400000 
 5, 0001, -0.600000 
 5, 0002, 0.500000 
 5, 0003, 1.100000 
 5, 0004, 1.800000 
 5, 0005, 3.400000 
 5, 0006, 3.100000 
 5, 0007, 1.700000 
 5, 0008, 0.600000 
 5, 0009, -0.300000 
 5, 0010, -1.000000 
 5, 0011, -1.200000 
 5, 0012, -1.500000 
 5, 0013, -1.700000 
 5, 0014, -2.000000 
 5, 0015, -2.300000 
 5, 0016, -2.700000 
 5, 0017, -3.200000 
 5, 0018, -3.400000 
 5, 0019, -3.600000 
 5, 0020, -3.900000 
 5, 0021, -4.200000 
 5, 0022, -4.600000 
 5, 0023, -2.700000 
 6, 0000, -0.500000 
 6, 0001, 1.600000 
 6, 0002, 3.700000 
 6, 0003, 4.100000 
 6, 0004, 5.700000 
 6, 0005, 5.300000 
 6, 0006, 4.800000 
